id,name,code,description,status,established_at,approved_on,created_at,department_id,program_id
28,Financial Services,GBBA6B15T,Financial Services (GBBA6B15T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
29,Investment Management,GBBA6B16T,Investment Management (GBBA6B16T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,19
30,Project and Viva-Voca,GBBA6B17D,Project and Viva-Voca (GBBA6B17D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,19
31,COMPUTER FUNDAMENTALS & HTML,GBCA1B01T,COMPUTER FUNDAMENTALS & HTML (GBCA1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
32,MATHEMATICAL FOUNDATION FOR COMPUTER APPLICATIONS,GBCA1C01T,MATHEMATICAL FOUNDATION FOR COMPUTER APPLICATIONS (GBCA1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
33,DISCRETE MATHEMATICS,GBCA1C02T,DISCRETE MATHEMATICS (GBCA1C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
34,PROBLEM SOLVING USING C,GBCA2B02T,PROBLEM SOLVING USING C (GBCA2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
35,PROGRAMMING LABORATORY I: HTML AND PROGRAMMING IN C,GBCA2B03P,PROGRAMMING LABORATORY I: HTML AND PROGRAMMING IN C (GBCA2B03P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
36,PROGRAMMING LABORATORY I: HTML & PROGRAMMING IN C,GBCA2C03P,PROGRAMMING LABORATORY I: HTML & PROGRAMMING IN C (GBCA2C03P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
37,FINANCIAL AND MANAGEMENT ACCOUNTING,GBCA2C03T,FINANCIAL AND MANAGEMENT ACCOUNTING (GBCA2C03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
38,OPERATIONS RESEARCH,GBCA2C04T,OPERATIONS RESEARCH (GBCA2C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
39,DATA STRUCTURES USING C,GBCA3B06T,DATA STRUCTURES USING C (GBCA3B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
40,COMPUTER ORIENTED NUMERICAL AND STATISTICAL METHODS,GBCA3C05T,COMPUTER ORIENTED NUMERICAL AND STATISTICAL METHODS (GBCA3C05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
41,THEORY OF COMPUTATION,GBCA3C06T,THEORY OF COMPUTATION (GBCA3C06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
42,MICROPROCESSORS ARCHITECTURE AND PROGRAMMING,GBCA4A13T,MICROPROCESSORS ARCHITECTURE AND PROGRAMMING (GBCA4A13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
43,SENSORS AND TRANSDUCERS,GBCA4A14T,SENSORS AND TRANSDUCERS (GBCA4A14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
44,DATABASE MANAGEMENT SYSTEM AND RDBMS,GBCA4B05T,DATABASE MANAGEMENT SYSTEM AND RDBMS (GBCA4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
45,PROGRAMMING LABORATORY II: DATA STRUCTURES AND RDBMS,GBCA4B06P,PROGRAMMING LABORATORY II: DATA STRUCTURES AND RDBMS (GBCA4B06P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
46,E-COMMERCE,GBCA4C07T,E-COMMERCE (GBCA4C07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
47,COMPUTER GRAPHICS,GBCA4C08T,COMPUTER GRAPHICS (GBCA4C08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
48,COMPUTER ORGANIZATION AND ARCHITECTURE,GBCA5B07T,COMPUTER ORGANIZATION AND ARCHITECTURE (GBCA5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
49,JAVA PROGRAMMING,GBCA5B08T,JAVA PROGRAMMING (GBCA5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
50,WEB PROGRAMMING USING PHP,GBCA5B09T,WEB PROGRAMMING USING PHP (GBCA5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
51,PRINCIPLES OF SOFTWARE ENGINEERING,GBCA5B10T,PRINCIPLES OF SOFTWARE ENGINEERING (GBCA5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
52,WEB DESIGNING,GBCA5D02T,WEB DESIGNING (GBCA5D02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
1,ENVIRONMENTAL STUDIES,GAUD1F01T,ENVIRONMENTAL STUDIES (GAUD1F01T),t,2019-07-24,2019-07-24,2021-08-13 07:17:09+05:30,19,35
53,Android Programming,GBCA6B11T,Android Programming (GBCA6B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
54,Operating Systems,GBCA6B12T,Operating Systems (GBCA6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
55,Computer Networks,GBCA6B13T,Computer Networks (GBCA6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
56,Programming Laboratory III: Java and PHP Programming,GBCA6B14P,Programming Laboratory III: Java and PHP Programming (GBCA6B14P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
57,Programming Laboratory IV: Android and Linux shell Programming,GBCA6B15P,Programming Laboratory IV: Android and Linux shell Programming (GBCA6B15P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
58,Industrial Visit & Project Work,GBCA6B16D,Industrial Visit & Project Work (GBCA6B16D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
59,FUNDAMENTALS OF MASS COMMUNICATION,GBCJ1B01T,FUNDAMENTALS OF MASS COMMUNICATION (GBCJ1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,16
60,MEDIA HISTORY,GBCJ2B02T,MEDIA HISTORY (GBCJ2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
61,REPORTING FOR THE PRINT,GBCJ3B03T,REPORTING FOR THE PRINT (GBCJ3B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
62,EDITING FOR THE PRINT,GBCJ3B04T,EDITING FOR THE PRINT (GBCJ3B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
63,DESIGN AND PAGINATION,GBCJ4B05T,DESIGN AND PAGINATION (GBCJ4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
64,RADIO PRODUCTION,GBCJ4B06T,RADIO PRODUCTION (GBCJ4B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
65,MASS COMMUNICATION THEORIES,GBCJ5B07T,MASS COMMUNICATION THEORIES (GBCJ5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
66,TELEVISION PRODUCTION,GBCJ5B08T,TELEVISION PRODUCTION (GBCJ5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
67,PUBLIC RELATIONS AND CORPORATE COMMUNICATION,GBCJ5B09T,PUBLIC RELATIONS AND CORPORATE COMMUNICATION (GBCJ5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
68,ADVERTISING,GBCJ5B10T,ADVERTISING (GBCJ5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
69,PHOTO JOURNALISM,GBCJ5B11T,PHOTO JOURNALISM (GBCJ5B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
70,NEWSPAPER JOURNALISM,GBCJ5D01T,NEWSPAPER JOURNALISM (GBCJ5D01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
71,Economic and  Business Reporting,GBCJ6B01T,Economic and  Business Reporting (GBCJ6B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
72,Magazine Journalism,GBCJ6B02T,Magazine Journalism (GBCJ6B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
73,Media Law Ethics,GBCJ6B12T,Media Law Ethics (GBCJ6B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
74,Online Journalism,GBCJ6B13T,Online Journalism (GBCJ6B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
75,Introduction to Cinema,GBCJ6B14T,Introduction to Cinema (GBCJ6B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
76,Project,GBCJ6B15D,Project (GBCJ6B15D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,12,13
77,BUSINESS MANAGEMENT,GBCM1B01T,BUSINESS MANAGEMENT (GBCM1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
78,MANAGERIAL 2,GBCM1C01T,MANAGERIAL 2 (GBCM1C01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
79,FINANCIAL ACCOUNTING,GBCM2B02T,FINANCIAL ACCOUNTING (GBCM2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
80,MARKETING MANAGEMENT,GBCM2C02T,MARKETING MANAGEMENT (GBCM2C02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
81,BASIC NUMERICAL METHODS,GBCM3A01T,BASIC NUMERICAL METHODS (GBCM3A01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
82,PROFESSIONAL BUSINESS SKILLS,GBCM3A02T,PROFESSIONAL BUSINESS SKILLS (GBCM3A02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
83,BUSINESS REGULATIONS,GBCM3B03T,BUSINESS REGULATIONS (GBCM3B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
84,CORPORATE ACCOUNTING,GBCM3B04T,CORPORATE ACCOUNTING (GBCM3B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
85,HUMAN RESOURCE MANAGEMENT,GBCM3C03T,HUMAN RESOURCE MANAGEMENT (GBCM3C03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
86,ENTREPRENEURSHIP DEVELOPMENT,GBCM4A03T,ENTREPRENEURSHIP DEVELOPMENT (GBCM4A03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
87,BANKING AND INSURANCE,GBCM4A04T,BANKING AND INSURANCE (GBCM4A04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
88,COST ACCOUNTING,GBCM4B05T,COST ACCOUNTING (GBCM4B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
89,CORPORATE REGULATIONS,GBCM4B06T,CORPORATE REGULATIONS (GBCM4B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
90,QUANTITATIVE TECHNIQUES  FOR BUSINESS,GBCM4C04T,QUANTITATIVE TECHNIQUES  FOR BUSINESS (GBCM4C04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
91,ACCOUNTING FOR MANAGEMENT,GBCM5B07T,ACCOUNTING FOR MANAGEMENT (GBCM5B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
92,BUSINESS RESEARCH METHODS,GBCM5B08T,BUSINESS RESEARCH METHODS (GBCM5B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
93,INCOME TAX LAW AND ACCOUNTS,GBCM5B09T,INCOME TAX LAW AND ACCOUNTS (GBCM5B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
94,FINANCIAL MARKETS AND SERVICES,GBCM5B10T,FINANCIAL MARKETS AND SERVICES (GBCM5B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
95,FINANCIAL MANAGEMENT,GBCM5B11T,FINANCIAL MANAGEMENT (GBCM5B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
96,COMPUTER APPLICATIONS IN BUSINESS,GBCM5B12T,COMPUTER APPLICATIONS IN BUSINESS (GBCM5B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,5,18
97,BUSINESS INFORMATION SYSTEMS,GBCM5B13T,BUSINESS INFORMATION SYSTEMS (GBCM5B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,5,18
98,E-COMMERCE,GBCM5D01T,E-COMMERCE (GBCM5D01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
99,BASICS OF ENTREPRENEURSHIP AND MANAGEMENT,GBCM5D02T,BASICS OF ENTREPRENEURSHIP AND MANAGEMENT (GBCM5D02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
100,BASIC ACCOUNTING,GBCM5D03T,BASIC ACCOUNTING (GBCM5D03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
101,Income Tax and GST,GBCM6B14T,Income Tax and GST (GBCM6B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
102,Auditing and Corporate Governance,GBCM6B15T,Auditing and Corporate Governance (GBCM6B15T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
103,Fundamentals of Investments,GBCM6B16T,Fundamentals of Investments (GBCM6B16T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
104,Financial Derivatives,GBCM6B17T,Financial Derivatives (GBCM6B17T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
105,Office Automation Tools,GBCM6B18T,Office Automation Tools (GBCM6B18T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,5,18
106,Computerized Accounting with Tally,GBCM6B19T,Computerized Accounting with Tally (GBCM6B19T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,5,18
107,Project and Viva-Voce,GBCM6B20D,Project and Viva-Voce (GBCM6B20D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,4,9
108,PRINCIPLES AND PRACTICE OF ACCOUNTING,GBCP1B01T,PRINCIPLES AND PRACTICE OF ACCOUNTING (GBCP1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
109,MANAGERIAL 2,GBCP1B02T,MANAGERIAL 2 (GBCP1B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
110,NUMERICAL SKILLS,GBCP1B03T,NUMERICAL SKILLS (GBCP1B03T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
111,FINANCIAL ACCOUNTING,GBCP2B04T,FINANCIAL ACCOUNTING (GBCP2B04T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
112,BUSINESS MANAGEMENT AND ENTREPRENEURSHIP,GBCP2B05T,BUSINESS MANAGEMENT AND ENTREPRENEURSHIP (GBCP2B05T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
113,BUSINESS REGULATIONS,GBCP2B06T,BUSINESS REGULATIONS (GBCP2B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
114,BUSINESS COMMUNICATION,GBCP2B07T,BUSINESS COMMUNICATION (GBCP2B07T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
115,QUANTITATIVE TECHNIQUES FOR BUSINESS,GBCP2B08T,QUANTITATIVE TECHNIQUES FOR BUSINESS (GBCP2B08T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
116,CORPORATE ACCOUNTING,GBCP3B09T,CORPORATE ACCOUNTING (GBCP3B09T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
117,INCOME TAX LAW AND PRACTICE,GBCP3B10T,INCOME TAX LAW AND PRACTICE (GBCP3B10T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
118,COST ACCOUNTING,GBCP3B11T,COST ACCOUNTING (GBCP3B11T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
119,MARKETING MANAGEMENT,GBCP3B12T,MARKETING MANAGEMENT (GBCP3B12T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
120,CORPORATE REGULATIONS,GBCP3B13T,CORPORATE REGULATIONS (GBCP3B13T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
121,APPLIED COST ACCOUNTING,GBCP4B14T,APPLIED COST ACCOUNTING (GBCP4B14T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
122,BUSINESS AND CORPORATE TAXATION,GBCP4B15T,BUSINESS AND CORPORATE TAXATION (GBCP4B15T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
123,INDUSTRIAL AND LABOUR REGULATIONS,GBCP4B16T,INDUSTRIAL AND LABOUR REGULATIONS (GBCP4B16T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
124,HUMAN RESOURCE MANAGEMENT,GBCP4B17T,HUMAN RESOURCE MANAGEMENT (GBCP4B17T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
125,E-COMMERCE MANAGEMENT,GBCP4B18T,E-COMMERCE MANAGEMENT (GBCP4B18T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
126,ACCOUNTING FOR MANAGERIAL DECISIONS,GBCP5B19T,ACCOUNTING FOR MANAGERIAL DECISIONS (GBCP5B19T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
127,FINANCIAL MANAGEMENT,GBCP5B20T,FINANCIAL MANAGEMENT (GBCP5B20T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
128,AUDITING AND ASSURANCE,GBCP5B21T,AUDITING AND ASSURANCE (GBCP5B21T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
129,FINANCIAL MARKETS AND SERVICES,GBCP5B22T,FINANCIAL MARKETS AND SERVICES (GBCP5B22T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
130,BUSINESS RESEARCH METHODS,GBCP5B23T,BUSINESS RESEARCH METHODS (GBCP5B23T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
131,INFORMATION TECHNOLOGY FOR BUSINESS,GBCP5B24T,INFORMATION TECHNOLOGY FOR BUSINESS (GBCP5B24T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
132,Strategic Management,GBCP6B25T,Strategic Management (GBCP6B25T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
133,Computerised Accounting,GBCP6B26T,Computerised Accounting (GBCP6B26T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
134,Indirect Taxes Law And Practice,GBCP6B27T,Indirect Taxes Law And Practice (GBCP6B27T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
135,Banking And Insurance Management,GBCP6B28T,Banking And Insurance Management (GBCP6B28T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
136,Corporate Governance And Business Ethics,GBCP6B29T,Corporate Governance And Business Ethics (GBCP6B29T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
137,Project Report & Viva – Voce,GBCP6B30D,Project Report & Viva – Voce (GBCP6B30D),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,2,15
138,COMPUTER FUNDAMENTALS & HTML,GBCS1B01T,COMPUTER FUNDAMENTALS & HTML (GBCS1B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
139,PROBLEM SOLVING USING C,GBCS2B02T,PROBLEM SOLVING USING C (GBCS2B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
140,PROGRAMMING LABORATORY I: HTML AND PROGRAMMING IN C,GBCS2B03P,PROGRAMMING LABORATORY I: HTML AND PROGRAMMING IN C (GBCS2B03P),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
141,PYTHON PROGRAMMING,GBCS3A01T,PYTHON PROGRAMMING (GBCS3A01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
142,DATA COMMUNICATION AND OPTICAL FIBRES,GBCS3A02T,DATA COMMUNICATION AND OPTICAL FIBRES (GBCS3A02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
143,PYTHON PROGRAMMING,GBCS3B01T,PYTHON PROGRAMMING (GBCS3B01T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
144,DATA COMMUNICATION AND OPTICAL FIBRES,GBCS3B02T,DATA COMMUNICATION AND OPTICAL FIBRES (GBCS3B02T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
145,DATA STRUCTURES USING C,GBCS3B06T,DATA STRUCTURES USING C (GBCS3B06T),t,2019-07-24,2019-07-24,2021-08-13 12:47:09.203286+05:30,6,17
