id,id_name,criteria,final_title,final_description,criteria_id,keywords,is_active,majour_id,sub_id
114,1,7.1.1,Gender equity promotion programs organised by the institution,,c7_1_1,Gender equity promotion programs organised by the,t,7,32
115,2,7.1.2,Gender equity intiatives under taken by the institution,,c7_1_2,Gender equity intiatives,t,7,32
116,3,7.1.3,Power Requirement met by renewable energy sources,,c7_1_3,Power Requirement met by renewable energy sources,t,7,32
117,4,7.1.4,Annual ligithing power requirement met through LED bulbs,,c7_1_4,Annual ligithing power requirement met through LED,t,7,32
118,5,7.1.5,Waste Management,,c7_1_5,Waste Management,t,7,32
119,6,7.1.6,Rain Water Harvesting,,c7_1_6,Rain Water Harvesting,t,7,32
120,7,7.1.7,Green Practices,,c7_1_7,Green Practices,t,7,32
121,8,7.1.8,Expenditure on Green initiatives and waste management,,c7_1_8,Expenditure on Green initiatives,t,7,32
122,9,7.1.9,Differentially abled (Divyangjan) friendlyness resourceses,,c7_1_9,Differentially abled (Divyangjan) friendlyness,t,7,32
123,10,7.1.10,Initiatives to address Locational advantages and disadvantages,,c7_1_10,Initiatives to address Locational advantages,t,7,32
124,11,7.1.11,Initiatives taken to engage with and contribution to local community,,c7_1_11,Initiatives taken to engage with and contribution,t,7,32
125,12,7.1.12,Code of conduct handbook,,c7_1_12,Code of conduct handbook,t,7,32
126,13,7.1.13,Core Values in the institution,,c7_1_13,Core Values in the institution,t,7,32
127,14,7.1.14,"Activities to increase attitude on national identities, fundamental duties etc",,c7_1_14,Activities to increase attitude,t,7,32
128,15,7.1.15,Course on human values and professional ethics,,c7_1_15,Course on human values and professional ethics,t,7,32
130,17,7.1.17,Activities conducted for promotion of universal values,,c7_1_17,Activities conducted for promotion of universal va,t,7,32
132,19,7.1.19,Transperancy in financial / academic / admnistrative / auxillary functions,,c7_1_19,Transperancy in financial / academic,t,7,32
133,1,7.2.1,Institutional best practices,,c7_2_1,Institutional best practices,t,7,33
134,1,7.3.1,Performance of the institution with respect to its vision priority and thrust,,c7_3_1,Performance of the institution with respect to it,t,7,34
135,2A,4.1.2A,Adequate facilities for sports Infrastructure,,c4_1_2A,"facility,sports, Infrastructure",t,4,19
136,2B,4.1.2B,Adequate facilities for Equipments,,c4_1_2B,Equipments,t,4,19
137,2C,4.1.2C,Event,,c4_1_2C,Events,t,4,19
138,2D,4.1.2D,Cultural activities,,c4_1_2D,Cultural activities,t,4,19
139,2E,4.1.2E,Cultural activities based on Level (B-Zone / Inter Zone / South Zone),,c4_1_2E,Level (B-Zone / Inter Zone / South Zone),t,4,19
140,3A,5.1.3A,Guidance for competetive examinations,,c5_1_3A,Guidance for competetive examinations,t,5,23
141,3B,5.1.3B,Carreer Couselling,,c5_1_3B,Couselling,t,5,23
142,3C,5.1.3C,Soft Skill development,,c5_1_3C,Soft Skill,t,5,23
143,3D,5.1.3D,Remedial Coaching,,c5_1_3D,Remedial Coaching,t,5,23
144,3E,5.1.3E,Language Lab,,c5_1_3E,Language Lab,t,5,23
145,3F,5.1.3F,Bridge Courses,,c5_1_3F,Bridge Courses,t,5,23
146,3G,5.1.3G,Personal couselling,,c5_1_3G,Personal couselling,t,5,23
147,3H,5.1.3H,Yoga and meditation,,c5_1_3H,Yoga and meditation,t,5,23
148,2A,5.3.2A,Student Council and representation of students on academic,,c5_3_2A,Student Council and representation,t,5,25
149,2B,5.3.2B,Activities organised by the students/ associations,,c5_3_2B,Activities organised by the students/ associations,t,5,25
150,2A,7.1.2A,SAFETY AND SECURITY MEASURES,,c7_1_2A,SAFETY AND SECURITY MEASURES,t,7,32
151,2B,7.1.2B,Gender equity intiatives under taken by the institution:  COUNSELLING,,c7_1_2B,Gender equity intiatives under taken by the instit,t,7,32
152,2C,7.1.2C,Gender equity intiatives under taken by the institution: COMMON ROOM / OTHER,,c7_1_2C,COMMON ROOM / OTHER,t,7,32
153,1B,5.4.1B,CHAPTERS MEETINGS,,c5_4_1B,"Alumni Associations , Chapters meeting",t,5,19
104,4,6.3.4,Teachers attending profession development programs (Orientation / Referesher /Short term Courses),,c6_3_4,Teachers attending profession development programs,t,6,29
6,1,1.3.1,"Integration of cross cutting issues relevant to gender, environment, sustainability, human values and professional ethics into the curriculum","",c1_3_1,Integration of cross cutting issues,t,1,3
30,4,2.5.4,Reforms on the examination procedures and processes including IT integration and continuous internal assessment on the examination management system,"",c2_5_4,Reforms on the examination procedures and processes including IT integration and continuous internal assessment on the examination management system,t,2,9
107,2,6.4.2,Funds or grants received from non government bodies / individuals /  philanthropers,,c6_4_2,Funds or grants received from non government,t,6,30
1,1,1.1.1,Curricula having relevant to the local / national / regional / global development needs with learning objectives,"",c1_1_1,"the local ,national, regional, global",t,1,1
44,1,3.3.1,Eco system for innovations including incubation center and other initiativies for creations and transfer of knowledge ,,c3_3_1,Eco system for innovations including incubation,t,3,14
45,2,3.3.2,Details of workshops/seminars conducted on Intellectual Property Rights (IPR) and Industry-Academia Innovative practices ,,c3_3_2,Details of workshops/seminars conducted,t,3,14
48,2,3.4.2,"Institution provides incentives to teachers who receive state, national and international recognition / awards",,c3_4_2,Institution provides incentives to teachers,t,3,15
50,4,3.4.4,Details of students Registered as research scholars and details of PhD awarded during the yaer,,c3_4_4,Details of students Registered as research,t,3,15
52,6,3.4.6,Published books/chapters in edited volumes / papers in national/international conference proceedings,,c3_4_6,Published books/chapters in edited volumes / paper,t,3,15
53,7,3.4.7,Bibiliometrices of the publication based on average citation index in scopus / web of sciecne or pubmed / indian citation index/H Index,,c3_4_7,Bibiliometrices of the publication,t,3,15
54,8,3.4.8,Bibiliometrices based on scopus / web of science - H index of the institution ,,c3_4_8,Bibiliometrices based on scopus,t,3,15
58,1,3.6.1,Extension Activities in the neigbourhood community in terms of impact of sensitizing studnets to social issues .,,c3_6_1,Extension Activities in the neigbourhood,t,3,17
59,2,3.6.2,Awards and recoginition received for extention activity from government / recognized bodies,,c3_6_2,Awards and recoginition received for extention,t,3,17
60,3,3.6.3,"Extenstion and outreach programs conducted in collabration with industry, community and NGO through NSS / NCC/ Red cross etc,.",,c3_6_3,Extenstion and outreach programs conducted,t,3,17
61,4,3.6.4,Students participating in extention activities with government organisation / NGO/ Programs such as Swatch Bharat etc.,,c3_6_4,Students participating in extention activities,t,3,17
63,2,3.7.2,Linkages with institution / industry for internship / on the job training / project work / sharing of research facilities /Field trip,,c3_7_2,Linkages with institution / industry,t,3,18
64,3,3.7.3,Functional MoUs with institution of nation / international importance / other instituion / industries/ corporate houses,,c3_7_3,Functional MoUs with institution of nation,t,3,18
100,4,6.2.4,Activity sucessfully implemented based on the minutes of the meetings and implementation ,,c6_2_4,Activity sucessfully implemented,t,6,28
102,2,6.3.2,Teachers provided with financial support to attended conferences / workshops and towards membership fee of professional bodies,,c6_3_2,teachers provided with financial support,t,6,29
103,3,6.3.3,No of professional development / administrative training programs organised the institution for teaching and non teaching ,,c6_3_3,No of professional development / administrative,t,6,29
108,3,6.4.3,Institutional strategies for mobilisation of funds and optimal utilisation of resources ,,c6_4_3,Institutional strategies for mobilisation of funds,t,6,30
109,1,6.5.1,Two practices institutionalised for quality assurance as a result of IQAC initiatives ,,c6_5_1,Two practices institutionalised for quality,t,6,31
110,2,6.5.2,Institutional reviews and implementation of teaching learning reforms facilitated by the IQAC,,c6_5_2,Institutional reviews and implementation,t,6,31
113,5,6.5.5,Post Accredation Quality Enhancement Initiatives in the academic and administrative domains,,c6_5_5,Post Accredation Quality Enhancement Initiatives,t,6,31
129,16,7.1.16,Institutional functioning as per professional code sugessted by statutory bodies / regulatory authorities for different professions,,c7_1_16,Institutional functioning as per professional,t,7,32
131,18,7.1.18,Organizing National festivals and birth or death aniversaries of the great indian personalities,,c7_1_18,Organizing National festivals and birth or death,t,7,32
